No,Nama Perusahaan,Detail,Jenis Barang,Wilayah Pemasaran
661,DUTA KARSACIPTA BUANAPerseroan Terbatas (PT)Email :dkciptabuana@gmail.com,Merek Barang :HOPPECKEStatus :Distributor,"Cells, Batteries, Chargers and Accessories for Stationary Applications","1. PT Pertamina (Persero) and all of subsidiaries, 2. Other Oil and Gas Segmentation,  3. Telkom and Telecommunication, 4. General Industrial, 5. Power segment and Transmission & Distribution : a. PIP (PLN Indonesia Power), b. PNP (PLN Nusantara Power), c. Independent Power Plant; 6. Other projects to be agreed on."
662,TRAKINDO UTAMAPerseroan Terbatas (PT)Email :TUGovrel@trakindo.co.id,Merek Barang :CATERPILLARStatus :Agen,"Service For : Bulldozer/ Track Type Tractor, Wheel dozer, Motor Grader, Scraper, Road Roller , Compactor (Pneumatic Tired), Compactor, Smooth, Compactor (Padded/Landfill/Soil), Track/Wheel Loader, Skid Steer Loader (SSL), Backhoe Loader (BHL), Multi Terrain Loader, Hydraulic Excavator, Front Shovel, Material Handler (Track/Wheel), Log Loader (Forest Machine), Feller Buncher, Infregrated Tool Carrier, Telescopic Handler, Pipe Layer, Forklift truck (electric), Forklift truck (diesel), Asphalt Paver (diesel), Road Reclaimer, Soil Stabilizer, Cold Planner, Pavement Proviller, Agricultural Tractors, Wheel Skidder, Track Skidder (logging tractor), Forwarder, Challenger, Tractors Head, Wheel Excavator, Asphalt Compactors, Wheel Loaders, Drills, Rotary Drills, Ug Room And Pilar, Feeder Breakers , Unit Rig Trucks, Harvesters, Dump Truck (OHT/ADT GVE exceeding >24 tons, HARVESTING HEAD, Generator (Altenator) < 12.5 KVA, Generator (Altenator) 12.5 KVA - 75 KVA, Generator (Altenator) 76 KVA - 150 KVA, Generator (Altenator) 151 KVA - 375 KVA, Generator (Altenator) 376 KVA - 750 KVA, Generator (Altenator) 751 KVA 10.000 KVA, Generator Sets (diesel) Output not exceeding 75 KVA, Generator Sets (diesel) Output exceeding 75 KVA but not exceeding 125 KVA, Generator sets (diesel) Output exceeding 125 KVA, Generator sets (diesel) Output not exceeding 12.500 KVA - More, Generator sets (diesel) Output not exceeding 12.500 KVA, Engines, Spark Ignition, Gas Engine, Power not exceeding 18.65 KW/25 HP, Engines, Spark Ignition, Gas Engine, Power not exceeding 18.65 KW/25 HP- 22.38 KW / 30 HP, Engines, Spark Ignition, Gas Engine, Power exceeding 22.38 KW/30 HP, Engines Compression Ignition (diesel), Marine Engine, Power not exceeding 750 KW, Engines Compression Ignition (diesel), Marine Engine, Power exceeding 750 KW, Engines Compression Ignition (diesel), Vehicle subheading 8701.10, Fully Assembly Cylinder Capacity Exceeding 3500cc, Engines Compression Ignition (diesel), Vehicles of chapter 87, Not Fully Assembly Cylinder Capacity Exceeding 3500cc, Engines Compression Ignition (diesel), Marine Engine, Power exceeding 24.38 KW but not exceeding 60 KW, Engines Compression Ignition (diesel), Marine Engine, Power exceeding 60 KW but not exceeding 100 KW, Engines, Compression Ignition (diesel), Industrial Engines, Power exceeding 100 KW , Engine Compression Ignition (Diesel) Used only for Machinery of heading 84.29 0r 84.30 Power Exceeding 100kW, Heat exchanger, Cooling Tower, Radiator, Silencer, Muffler, Automatic circuit breaker, Control Panel, Propeller, UPS Flywheel , TCG 2016, TCG 2020, TCG 2032, TCG 3016, TCG 3020, TBG 616, TBG 620, TBD 232, TBD 234, TBD 604, TBD 616, TBD 620, TCD 2016, TCD 2020, CAT CG 132 (-8; -12; -16) ; MWM TCG/TBG 2016 (-8;-12;16) CAT CG 170 (-12;-16; -20) ; MWM TCG/TBG 2020 (-12;-16; -20) CAT CG 260 (-12; -16) ; MWM TCG/TBG 2032 (-12; -16) GAS ENGINE GENERATOR HARMONY SYSTEM, GENERATOR SPARE-PART HARMONY SYSTEM",Seluruh Indonesia
663,BATAM BANGUN PRATHAMAPerseroan Terbatas (PT)Email :bbplegal@bbpindonesia.com,"Merek Barang :Tanpa Merek, BBPStatus :Distributor","Hexagonal Head Self Drilling Screw, Flat Head Self Drilling Screw, PVC Flex Banner, PVC Hose, PVC Wire Reinforence Hose, Thread PVC Hose, Glass Mat, Cutting Wheel, Drywall Steel Profile, Drywall Screw, Expansion Pipe Bolts, PVC Coated Chain Link Fence, Gald Welded Wire Mesh, PVC Gald Welded Wire Mesh, Electrode Gald Welded Wire Mesh, Hexagonal Wire Netting, Gald Hexagonal Mesh Hotdipped, Shovel, Welding Electrodes, Galvanized Latch, Hinge, Door Axles, Screw Thread, Screw, Wheel Barrow & Bolts",Batam
664,NUSA PRATAMA ANUGRAHPersekutuan Komanditer (CV)Email :admin@nusapratama.co.id,"Merek Barang :NITREA, PHONSKA, PETRO, PETRO,PETRO,PETRO,PETRO,PHOSGREENStatus :Distributor","PUPUK NON SUPSIDI (UREA, NPK151515, ZA, ZA PLUS, ZK, SP36, SP26, PUPUK FOSFAT)","INDONESIA ( Madiun, Ponorogo, Mojokerto, Sidoarjo) JAWA TIMUR"
665,MANDIRI PUTRA PERSADHAPerseroan Terbatas (PT)Email :mandiriputrapersadha@gmail.com,Merek Barang :KABELINDOStatus :Agen,KABEL LISTRIK,Ekatalog LKPP
666,BROTOSENO JAYAPersekutuan Komanditer (CV)Email :cvbsj307@gmail.com,Merek Barang :JOHN CRANEStatus :Distributor,"Mechanical Seal, Couplings and Other Products, Dry Gas Seal","PT Pupuk Sriwijaya, Sumatera, Indonesia"
667,BERKO BERKAH MANDIRIPerseroan Terbatas (PT)Email :info@ptbbm.com,Merek Barang :CARTECStatus :Distributor,"CARTEC BRAND OF EQUIPMENT ; CARTEC BRAND OF SPARE PARTS ; Brake Tester : BDE 204, BDE 3504, BDE 4504, BDE 4604, 420-BR, 416-BR, 413-BR ; Side Slip Tester : SSP 204, SSP 2000, SSP 4000 ; Joint Play Detector : GST 2300 FA, GST 4600 FA ; Gas Analyzer : CET 210, CET 211, CET 220 ; Deceleration Meter : DMA 200 ; Combiline/Videoline : 204-RP, 206-RP, 306-RP ; Speedometer Tester : GPS 005, GPS 1000, GPS 2000, GPS 4000 ; Headlight Tester : 433-HA, 311-HA, 321-HA, 131-HA, HL-2066 ; Suspension Tester : FWT 202",Indonesia
668,SUKSES MAKMUR JAYAPerseroan Terbatas (PT)Email :smjd_sby@yahoo.co.id,"Merek Barang :MOMOGI, MIGI MIGI, YALE-YALE, TWISTSTICK, CRISCITO, YOLA YOLA, FRUBEE, MOMOGI SIGNATURE, MOMOGI POPCORN dan JAGI JAGIStatus :Distributor",[MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Jagung Bakar; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Coklat; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Cappucino; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Keju; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Truffle; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Cocopandan; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Tutti Frutti; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Jagung Bakar Pedas; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Rendang; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Butter Caramel; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Garlic Bread; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Soto Ayam; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Kimchi; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Balado; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Rumput Laut; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Chilli Lime; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Coklat; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Keju; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Jagung Bakar; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Cocopandan; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Balado; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Rumput Laut; [MOMOGI] Makanan Ringan Ekstrudat Bentuk Hati Rasa Keju; [MOMOGI] Makanan Ringan Ekstrudat Bentuk Bintang Rasa Coklat; [MOMOGI] Makanan Ringan Ekstrudat Twist Rasa Jagung Bakar; [MOMOGI] Makanan Ringan Ekstrudat Twist Rasa Keju; [MOMOGI] Wafer Krim Rasa Coklat Vanilla; [MOMOGI] Wafer Krim Rasa Strawberry Vanilla Salut Coklat; [MOMOGIPOPCORN] Berondong Jagung Rasa Caramel; [MOMOGIPOPCORN] Berondong Jagung Rasa Keju; [MOMOGIPOPCORN] Berondong Jagung Rasa Butter; [MIGI MIGI] Wafer Krim Rasa Coklat – Keju; [MIGI MIGI] Wafer Krim Rasa Cocopandan; [MIGI MIGI] Wafer Krim Rasa Vanilla – Mocca; [MIGI MIGI] Wafer Krim Rasa Keju; [MIGI MIGI] Wafer Krim Rasa Strawberry – Vanilla; [MIGI MIGI] Wafer Krim Rasa Coklat; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Chilli Garlic; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Cheese Gochujang; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Smokey Wagyu; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Sour & Cream; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Rendang; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Rumput Laut; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Kimchi; [CRISCITO] Makanan Ringan Ekstrudat Stik Kentang Rasa Original; [CRISCITO] Makanan Ringan Ekstrudat Stik Kentang Rasa Rumput Laut; [FRUBEE] Minuman Ringan Serbuk Rasa Jeruk Manis; [FRUBEE] Minuman Ringan Serbuk Rasa Blackcurrant; [FRUBEE] Minuman Ringan Serbuk Rasa Jeruk Nipis; [FRUBEE] Minuman Ringan Serbuk Rasa Kurma; [TWISTICK] Mini Wafer Roll Rasa Strawberry; [TWISTICK] Mini Wafer Roll Rasa Coklat; [TWISTICK] Mini Wafer Roll Rasa Cocopandan; [TWISTICK] Mini Wafer Roll Rasa Strawberry; [JAGI-JAGI] Makanan Ringan Ekstrudat Stick Rasa Strawberry Salut Coklat; [JAGI-JAGI] Makanan Ringan Ekstrudat Stick Rasa Avocado Salut Coklat; [JAGI-JAGI] Makanan Ringan Ekstrudat Stick Rasa Blueberry Salut Coklat; [YALE-YALE] Makanan Ringan Ekstrudat Stick Bulat Rasa Coklat; [YALE-YALE] Makanan Ringan Ekstrudat Stick Bulat Rasa Jagung Bakar; [YALE-YALE] Makanan Ringan Ekstrudat Stick Bulat Rasa Cocopandan; [YALE-YALE] Makanan Ringan Ekstrudat Rice Crispy Vanilla; [YALE-YALE] Makanan Ringan Ekstrudat Rice Crsipy Rasa Tutti Frutti; [YALE-YALE] Makanan Ringan Ekstrudat Rice Crispy Rasa Coklat; [YOLA-YOLA] Makanan Ringan Ekstrudat Stick Rasa Coklat; [YOLA-YOLA] Makanan Ringan Ekstrudat Stick Rasa Jagung Bakar; [YOLA-YOLA] Makanan Ringan Ekstrudat Stick Rasa Cocopandan; [YOLA-YOLA] Makanan Ringan Ekstrudat Stick Rasa Balado; [MOMOGI SIGNATURE] Mie Instan Rasa Jagung Bakar; [MOMOGI SIGNATURE] Mie Instan Rasa Cheese Curry,"Jawa Timur, sebagian Jawa Tengah (D.I Yogyakarta, Solo, Semarang), sebagian Kalimantan (kecuali Kalimantan Barat), Sulawesi, Bali, Lombok, Nusa Tenggara Timur, Nusa Tenggara Barat, dan Indonesia Bagian Timur"
669,WAHANA ADIREKSA PRATAMAPerseroan Terbatas (PT)Email :ivan-hoe@wahana-adireksa.com,Merek Barang :SpectrexStatus :Distributor,"Open Path detector, Model : Safeye Quasar 900; Flame Detector, Model : 40/40 Series & 20/20 Series Including Flame Simulator Model : FS Series",Indonesia
670,POLARIS INSTRUMENTASI DINAMIKAPerseroan Terbatas (PT)Email :hendra@ptpid.com,Merek Barang :DURAG GROUPStatus :Agen,"DURAG/AP2E Gas analysis systems : ProCeas - Process Gas Analyzer, Ambient  Air Gas Analyzer. LaserCEM - CEMS Gas Analyzer, LPS - Low Pressure Sampling. HM-1400 TRX2 - Process and CEMS Mercury Analyzer. DURAG Flow measurement systems : D-FL 100-Differential Pressure Volume Flow Measurement. D-FL 220- Ultrasonic Volume Flow Measurement. DURAG Opacity and Particulate Monitoring systems : D-R 808- Particulate Monitor, D-R 290- Opacity/Dust Monitor, D-R 320-Dust Monitor. D-R 909-Extractive Dust Monitor. D-ISC 100 XX2- Universal Operating Unit, D-TB X00- Supply Unit. DURAG Data systems Data Management systems : D-EMS 2020- Environmental and Process Data Management System. DATACEMS-Predictive Emission Monitoring System. GRIMM Environmental Dust Monitoring : EDM180/EDM180+/EDM264/EDM280-Enviromental Dust Monitors.11-D- Portable aerosol spectrometer. 1371-Portable Wide Range Aerosol Spectrometer MiniWRAS. 7811-Universal Aerosol Generator. JES Tunnel Safety : Smart AQM Air Quality monitors, t/FL air flow monitors, t/VIS/w /MOR Visibility monitors, t/LUX / t/LUM Lux / Luminance meters.",Indonesia
671,WAHANA ADIREKSA PRATAMAPerseroan Terbatas (PT)Email :ivan-hoe@wahana-adireksa.com,Merek Barang :NIHON KLINGAGEStatus :Distributor Tunggal,Direct Reading Liquid Level Gage; Magnet Float Type Level Gage Product; Boiler Water Level Gage; Klear Coat Glass : Fluorine resin (PFA) Coated Glass; Luking-AR : Alkali Resistant Glass; Klinport : Metal to glass sealed Glass; Sight Glass; Level Switch; Spare parts,Indonesia
672,ADVANCED TECHNOLOGY SOLUTIONPerseroan Terbatas (PT)Email :sales.admin@atsindo.com,Merek Barang :FenixStatus :Agen Tunggal,Software,Indonesia in the Energy Industry
673,TIRTAKENCANA BATAMINDOPerseroan Terbatas (PT)Email :tirtakencanabatamindo12@gmail.com,Merek Barang :ADMIRALStatus :Distributor,"Cat jenis Primer and sealer coat for submerged steel (underwater hull, etc) for ship, zinc rich primer,  bituminous Coating for chain locker, aluminium/ heat Resistance Paint, aluminium/ heat Resistance Paint, Alkyd Finish,  EpoxY mastic, epoxy MIO & second coat, Epoxy Glassflake, Palyurethane Finish , Acrylic Finish, Epoxy Novolac, Thinner  (epoxy, plyrethane, zine, epoxy glass flake, Florring (admiflor 347, 352,332,337,335,356,397)",Indonesia
674,KURNIA CIPTANIAGA GEMILANGPerseroan Terbatas (PT)Email :cipta.niaga@kurniacg.com,"Merek Barang :CHARLES & KEITH, PEDROStatus :Distributor","Tas dan Dompet dengan Kelas Merk 18 (Charles & Keith No. IDM000340417, PEDRO No. IDM000128993) dan Alas Kaki dengan Kelas Merk 25 (Charles & Keith No. IDM000340418, PEDRO No. IDM000128880))",Indonesia
675,LAB SISTEMATIKA INDONESIAPerseroan Terbatas (PT)Email :sales@labsystematic.com,Merek Barang :RIGAKUStatus :Distributor,"PDX/XRD Products, WDX Products, TAZ Products, XIM Products",Seluruh Wilayah Indonesia
676,WAHANA ADIREKSA PRATAMAPerseroan Terbatas (PT)Email :ivan-hoe@wahana-adireksa.com,Merek Barang :SpectrexStatus :Distributor,"Open Path detector, Model : Safeye Quasar 900; Flame Detector, Model : 40/40 Series & 20/20 Series Including Flame Simulator Model : FS Series",Indonesia
677,MULIA GRAHA ABADIPerseroan Terbatas (PT)Email :mga@muliagraha.co.id,Merek Barang :MAAStatus :Agen,"Service, Repair, Maintenance dan Manufaktur Wellhead, X-Mas Tree, include Accessories",Indonesia
678,MITRA GRATAPerseroan Terbatas (PT)Email :willy.darlin@milaga.co.id,Merek Barang :SCHUH TECHNOLOGYStatus :Agen,"Pressure gauge , Differential pressure gauge, Temperature gauge, Thermowell , Thermocouple, Aksesoris, Produk lainnya dari PT 3S International","INDUSTRI MINYAK DAN GAS (OIL AND GAS INDUSTRY), INDUSTRI MINYAK DAN GAS  PROVINSI (OIL AND GAS INSDUSTRY) PROVINSI JAMBI, PETROCHINA INTERNATIONAL JABUNG LTD,  JINDI SOUTH JAMBI .CO . LTD, PT. SELE RAYA MERANGIN DUA, JADESTONE ENERGY (LEMANG) PTE LTD."
679,ALAM INSEKTINDOPerseroan Terbatas (PT)Email : -,Merek Barang :PLPStatus :Distributor,"Generally, hardware and fittings for overhead electrical transmission and communication systems including but not limited to : 1.	String sets, fittings and vibration control products for Transmission Lines  2.	OPGW/ADSS fittings for T/L projects  3.	Connectors and hardware for substation projects 4.	Insulators for overhead transmission and distribution lines and substations",Indonesia
680,PRATAMA GRAHA SEMESTAPerseroan Terbatas (PT)Email :julia@ptpgs.co.id,Merek Barang :HORIBAStatus :Distributor,IPE & Water products .,Indonesia
681,PUTERA INSTRUMENINDOPerseroan Terbatas (PT)Email :putrainstrumenindo@yahoo.com,Merek Barang :ENVEA Environnement saStatus :Distributor,AQMS And CEMS Products,Indonesia
682,RADIANCE CIPTA SOLUSIPerseroan Terbatas (PT)Email :rdncs23@gmail.com,Merek Barang :SINDOHStatus :Distributor,"MESIN MULTIFUNGSI BERWARNA, MESIN FOTOCOPY BERWARNA ,
MESIN PRINTER BERWARNA, ACCESSORIES, SPARE PARTS DAN
CONSUMABLES.",Indonesia
683,DUTA LALU LINTAS INDONESIAPerseroan Terbatas (PT)Email :ptdutalalulintasindonesia@gmail.com,Merek Barang :DulalinStatus :Distributor,ROAD STUD / ROAD LAMP / CONVEX MIRROR / TRAFFIC CONE / WARNING POST / SPEED HUMP / TRAFFIC EQUIPMENT,Indonesia
684,BATAM BANGUN PRATHAMAPerseroan Terbatas (PT)Email :bbplegal@bbpindonesia.com,Merek Barang :Tanpa MerekStatus :Distributor,Galv Square Pipes Hotdipped & Galv Round Pipes Hotdipped,Batam
685,SUKSES MAKMUR ABADIPerseroan Terbatas (PT)Email :corporate.smad@sarimurni.co.id,"Merek Barang :MOMOGI, MIGI MIGI, YALE-YALE, TWISTSTICK, CRISCITO, YOLA YOLA, FRUBEE, MOMOGI SIGNATURE, MOMOGI POPCORN dan JAGI JAGIStatus :Distributor",[MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Jagung Bakar; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Coklat; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Cappucino; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Keju; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Truffle; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Cocopandan; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Tutti Frutti; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Jagung Bakar Pedas; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Rendang; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Butter Caramel; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Garlic Bread; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Soto Ayam; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Kimchi; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Balado; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Rumput Laut; [MOMOGI] Makanan Ringan Ekstrudat Stick Rasa Chilli Lime; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Coklat; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Keju; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Jagung Bakar; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Cocopandan; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Balado; [MOMOGI] Makanan Ringan Ekstrudat Mini Stick Rasa Rumput Laut; [MOMOGI] Makanan Ringan Ekstrudat Bentuk Hati Rasa Keju; [MOMOGI] Makanan Ringan Ekstrudat Bentuk Bintang Rasa Coklat; [MOMOGI] Makanan Ringan Ekstrudat Twist Rasa Jagung Bakar; [MOMOGI] Makanan Ringan Ekstrudat Twist Rasa Keju; [MOMOGI] Wafer Krim Rasa Coklat Vanilla; [MOMOGI] Wafer Krim Rasa Strawberry Vanilla Salut Coklat; [MOMOGIPOPCORN] Berondong Jagung Rasa Caramel; [MOMOGIPOPCORN] Berondong Jagung Rasa Keju; [MOMOGIPOPCORN] Berondong Jagung Rasa Butter; [MIGI MIGI] Wafer Krim Rasa Coklat – Keju; [MIGI MIGI] Wafer Krim Rasa Cocopandan; [MIGI MIGI] Wafer Krim Rasa Vanilla – Mocca; [MIGI MIGI] Wafer Krim Rasa Keju; [MIGI MIGI] Wafer Krim Rasa Strawberry – Vanilla; [MIGI MIGI] Wafer Krim Rasa Coklat; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Chilli Garlic; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Cheese Gochujang; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Smokey Wagyu; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Sour & Cream; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Rendang; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Rumput Laut; [CRISCITO] Makanan Ringan Ekstrudat Bentuk Crack Tkr Rasa Kimchi; [CRISCITO] Makanan Ringan Ekstrudat Stik Kentang Rasa Original; [CRISCITO] Makanan Ringan Ekstrudat Stik Kentang Rasa Rumput Laut; [FRUBEE] Minuman Ringan Serbuk Rasa Jeruk Manis; [FRUBEE] Minuman Ringan Serbuk Rasa Blackcurrant; [FRUBEE] Minuman Ringan Serbuk Rasa Jeruk Nipis; [FRUBEE] Minuman Ringan Serbuk Rasa Kurma; [TWISTICK] Mini Wafer Roll Rasa Strawberry; [TWISTICK] Mini Wafer Roll Rasa Coklat; [TWISTICK] Mini Wafer Roll Rasa Cocopandan; [TWISTICK] Mini Wafer Roll Rasa Strawberry; [JAGI-JAGI] Makanan Ringan Ekstrudat Stick Rasa Strawberry Salut Coklat; [JAGI-JAGI] Makanan Ringan Ekstrudat Stick Rasa Avocado Salut Coklat; [JAGI-JAGI] Makanan Ringan Ekstrudat Stick Rasa Blueberry Salut Coklat; [YALE-YALE] Makanan Ringan Ekstrudat Stick Bulat Rasa Coklat; [YALE-YALE] Makanan Ringan Ekstrudat Stick Bulat Rasa Jagung Bakar; [YALE-YALE] Makanan Ringan Ekstrudat Stick Bulat Rasa Cocopandan; [YALE-YALE] Makanan Ringan Ekstrudat Rice Crispy Vanilla; [YALE-YALE] Makanan Ringan Ekstrudat Rice Crsipy Rasa Tutti Frutti; [YALE-YALE] Makanan Ringan Ekstrudat Rice Crispy Rasa Coklat; [YOLA-YOLA] Makanan Ringan Ekstrudat Stick Rasa Coklat; [YOLA-YOLA] Makanan Ringan Ekstrudat Stick Rasa Jagung Bakar; [YOLA-YOLA] Makanan Ringan Ekstrudat Stick Rasa Cocopandan; [YOLA-YOLA] Makanan Ringan Ekstrudat Stick Rasa Balado; [MOMOGI SIGNATURE] Mie Instan Rasa Jagung Bakar; [MOMOGI SIGNATURE] Mie Instan Rasa Cheese Curry,"DKI Jakarta, Banten, Jawa Barat, sebagian Jawa Tengah (Pemalang dan Purwokerto), Sumatera Utara, Sumatera Barat, Sumatera Selatan (Palembang dan Lampung), Aceh, Kepulauan Riau, Kepulauan Bangka Belitung, dan Kalimantan Barat"
686,INDOSAN BERKAT BERSAMAPerseroan Terbatas (PT)Email :admin.finance@indosan.com,Merek Barang :C.E.TStatus :Distributor,Portable Pumps,INDONESIA
687,LOUISA JAYA LESTARIPerseroan Terbatas (PT)Email :louisajaya.lestari@yahoo.com,Merek Barang :GENYStatus :Sub Agen,Single Phase Portable Standard Meter YC-2000N and Three Phase Portable Standard Meter YC-98S1H,"Sumatera Utara, Jawa Tengah dan Indonesia bagian timur."
688,INDOTRUCK UTAMAPerseroan Terbatas (PT)Email :harno.prinadi@indotruck-utama.co.id,Merek Barang :VOLVOStatus :Distributor Tunggal,"Articulated Haulers, Wheel Loaders, Rigid Haulers, Compact  Wheel Loaders, Wheeled Excavator, Crawler Excavators,  Compact Excavator, Soil Compaction, Asphalt Compaction,  Pavers, skid Steer Loader, Volvo CE Soft Products",PULAU JAWA DAN SUMATRA
689,ARUNG KARYA WISESAPerseroan Terbatas (PT)Email :pt.arungkaryawisesa@gmail.com,Merek Barang :SHUANGLINStatus :Distributor,"HDPE SDR9 (PN20), HDPE TRIPLE LAYER & ACCECORIES, HDPE SDR11 (PN16), HDPE SDR13.6 (PN12.5), HDPE SDR17 (PN10), HDPE SDR21 (PN8), HDPE SDR26 (PN6.3), HDPE/PP Single Wall Corrugated Pipe (Cable Protection), HDPE/PP Single Wall Corrugated Pipe Truck Loading Refference, Connection Rubber Ring, Single Wall Corrugated Pipe Coupler, Corrugated Pipe Sapcer, HDPE/PP Single Wall Corrugated Pipe (Perforted), HDPE Double Wall Corrugated Pipe, HDPE/PP Double Wall Corrugated Pipe Truck Loading Refference, Double Wall Corrugated Pipe Coupler, HDPE Corrugated Pipe 90 Degree Elbow, HDPE Corrugated Pipe Tee, Corrugated Pipe Cross Joint, HDPE Corrugated End Cap, HDPE Flap Gate",Indonesia
690,BATAM BANGUN PRATHAMAPerseroan Terbatas (PT)Email :bbplegal@bbpindonesia.com,Merek Barang :Tanpa MerekStatus :Distributor,"Gald Iron Wire, Gald Welded Wire Sheet, Expanded Metal Sheet, Steel Sheet, Galvanized Steel Sheet, Light Steel Stud & Common Iron Nails",Batam
691,PUTRANATA ADI MANDIRIPerseroan Terbatas (PT)Email :alfi.putranata@gmail.com,Merek Barang :COMPRESSOR CONTROLS CORPORATIONStatus :Agen,"*Primary Controllers & Redundant Controllers : Series 3+, 3++: Antisurge Controller, Performance Controller, Dual Loop A/P Controller, Speed Controller (include FTA), Extraction Controller (include FTA), Fuel Controller (for gas turbine driven generators), EAS (Surge Detector & Manual Loading Station) ;- Series 4 Turbomachinery Controls System ; - Series 5 Turbomachinery Controls System : Reliant, Vanguard, Guardian, Prodigy, Air Miser *Buyout Equipment *Software","PT. BP Indonesia, PT. Badak NGL, PT. Medco E&P Natuna Ltd, PT. Pupuk Kalimantan Timur, PT. Kaltim Methanol Industri, PT. DSM Kaltim Melamine, PT. Donggi Senoro LNG, ExxonMobil Cepu Limited, PT. Petrokimia Gresik, PT. Pupuk Kujang"
692,BATAM BANGUN PRATHAMAPerseroan Terbatas (PT)Email :bbplegal@bbpindonesia.com,Merek Barang :Tanpa MerekStatus :Distributor,"Gald Iron Wire, Galv Square Pipes Hotdipped, Angle Bar, Gald Angle Bar, Galv Round Pipes Hotdipped, C Channel, Slotted Mild Steel Angle Bar & Common Iron Nails",BATAM
693,DUTA LALU LINTAS INDONESIAPerseroan Terbatas (PT)Email :ptdutalalulintasindonesia@gmail.com,Merek Barang :DulalinStatus :Distributor,ROAD STUD / ROAD LAMP / CONVEX MIRROR / TRAFFIC CONE / WARNING POST / SPEED HUMP / TRAFFIC EQUIPMENT,Indonesia
694,BATAM BANGUN PRATHAMAPerseroan Terbatas (PT)Email :bbplegal@bbpindonesia.com,Merek Barang :Tanpa MerekStatus :Distributor,Galv Square Pipes Hotdipped & Galv Round Pipes Hotdipped,Batam
695,INDOSAN BERKAT BERSAMAPerseroan Terbatas (PT)Email :admin.finance@indosan.com,Merek Barang :C.E.TStatus :Distributor,Portable Pumps,INDONESIA
